,rule1 count,rule1 motions,rule2 count,rule2 motions,rule3 count,rule3 motions
854,6509,218610,6616,219683,6477,29036
855,3074,103297,2498,83676,12566,73617
856,153,4754,1009,32408,591,1377
857,1533,51289,532,17169,871,1852
858,36493,1217220,286,9635,418,960
859,4165,137809,4664,155896,6770,28954
860,1377,46478,1848,59550,6635,30031
861,935,31573,725,24490,656,1560
862,1811,60096,611,20904,935,1970
863,9640,320150,15084,499008,1593,3431
864,18586,615789,356,12431,429,957
865,557,18431,4209,139462,17546,114388
866,25146,838105,6248,207320,9201,48792
867,2011,66693,469,15992,66,136
868,1501,49301,4244,140907,1788,3696
869,308,10348,2651,87028,2682,6506
870,4486,149795,9593,319191,14543,96188
871,12028,397527,1427,46984,6352,28568
872,28880,958081,10329,345472,861,1882
873,1687,56408,657,22012,632,1600
874,420,14051,319,10282,45,74
875,1187,39381,752,25059,629,1524
876,20328,669412,6833,226165,25392,179498
877,515,17388,8669,289029,2646,6398
878,781,26064,292,9273,18113,120476
879,16360,546139,12130,402805,7928,39812
880,638,20892,3015,100542,6290,31764
881,2912,97223,7091,236706,13188,74956
882,14820,491874,1571,52964,1846,3979
883,2666,89808,3586,118100,4897,17280
884,1141,37578,298,9758,374,794
885,9708,322349,4576,153640,28167,194345
886,621,20228,661,22396,10847,57588
887,2260,74032,156,4960,417,991
888,474,15906,9894,326643,37970,345347
889,1086,36471,1070,35507,10494,54766
890,4702,155650,1297,43103,20345,140285
891,2095,70777,19808,665753,1043,2236
892,1744,57902,19312,651442,657,1577
893,4436,147066,9729,324214,4074,14737
894,1739,57430,515,17887,1,0
895,37538,1254271,10305,343007,10417,54715
896,6214,207353,14273,477264,4353,15467
897,10279,344646,10799,358887,1026,2223
898,11314,372785,2096,70557,7424,36230
899,10575,356168,991,34034,1106,2332
900,12083,400714,6457,215627,1889,4000
901,2052,68634,26988,900198,3577,11284
902,17240,573706,1936,64130,1525,3259
903,444,14774,1033,34237,10764,57843
904,1030,34060,37660,1256191,1755,3723
905,10441,346124,19870,655013,11051,64590
906,589,19283,1224,40374,1193,2634
907,12441,417698,14782,494951,12785,79637
908,1238,41928,532,17634,538,1343
909,4305,145432,1479,48465,1570,3283
910,45,1639,4180,138796,1966,4228
911,750,24643,12614,420413,25387,213689
912,1334,43999,571,19844,10512,56468
913,907,30736,1672,54086,1515,3222
914,4695,159239,1895,63226,6790,31633
915,21933,724825,3731,124089,6058,27321
916,2232,74465,6402,212130,31895,219365
917,10534,350674,859,29072,944,2091
918,14675,485071,1710,57890,4735,17294
919,11083,371868,665,22107,1104,2468
920,5765,195342,13083,440356,11341,59930
921,426,14455,1554,52455,20926,160842
922,10945,365579,999,32003,10544,59699
923,185,5705,6808,230023,14373,105583
924,3011,99898,5840,196605,25098,198203
925,966,32144,420,14269,161,323
926,10866,360091,963,32206,1021,2243
927,4731,158012,14865,498287,6872,30878
928,6485,215046,28380,951006,12446,70504
929,2174,72632,1927,63362,1560,3340
930,304,10032,516,17405,136,251
931,6956,232454,4574,152436,4620,15497
932,10482,347681,939,31636,653,1514
933,1436,48085,764,25281,10698,60795
934,10426,345962,1227,39474,1221,2641
935,2445,80112,661,21587,10565,52672
936,700,22665,403,13410,480,1015
937,573,19607,195,6655,82,149
938,530,17588,19347,643388,176,378
939,1025,33369,244,8473,496,1283
940,2132,71302,1576,51636,9401,48983
941,14684,492386,1457,48479,6717,30906
942,9443,310451,2488,81836,2693,6487
943,6945,230074,4684,158153,1536,3414
944,26125,875325,9450,313748,12702,66387
945,6625,221664,1968,66148,12616,74744
946,33791,1144702,1390,46285,4646,16727
947,593,19599,1075,36062,673,1553
948,21858,727826,13139,436493,7358,33693
949,581,18922,396,12464,304,641
950,635,20699,10245,339698,1054,2146
951,6919,231442,4414,147062,12317,75890
952,4613,154766,1703,57398,1724,3630
953,9508,314668,1869,62821,12832,75218
954,1320,44476,901,29263,10511,57145
955,357,11428,26179,863106,1426,3038
956,2153,73037,1056,35028,19326,134818
957,1179,39406,275,9142,435,1073
958,1933,64373,17878,596209,1388,3078
959,1827,60301,10719,353478,662,1538
960,22845,765664,2378,79324,2537,5784
961,1627,55656,10984,364677,19958,123318
962,1438,47368,1156,39022,10060,53207
963,8905,296951,6222,206974,14120,88243
964,2052,67757,496,16428,10821,56946
965,10346,345398,10622,352061,1191,2557
966,10325,348457,597,19237,1209,2580
967,2807,93934,10045,334505,8426,46601
968,10576,350963,1025,34467,615,1478
969,2306,76263,4484,148165,24533,193077
970,18907,625083,663,21876,1187,2636
971,729,24937,40,1252,195,423
972,123,4320,637,20980,1001,2095
973,3534,117601,3727,124566,2049,4444
974,166,5766,115,4353,267,556
975,1339,44086,699,23579,1127,2366
976,2924,98387,5035,166632,3305,9544
977,12600,420863,4609,153226,21559,136911
978,722,24349,18587,625162,436,981
979,18303,610002,501,16619,115,224
980,5837,193543,5179,173089,2768,6910
981,43513,1460663,11024,368337,5586,25048
982,159,4811,512,17244,1,0
983,12362,413192,1664,55504,6815,29359
984,21335,710843,3720,122786,9789,54164
985,1276,42849,12558,420893,21230,172326
986,342,11848,667,21939,762,1687
987,5610,188252,3694,121896,11257,57928
988,10355,348260,19666,666194,905,2042
989,972,32162,965,33250,933,1994
990,7962,264412,5661,184439,3117,9041
991,7700,255580,3879,129597,2410,5337
992,1432,47479,143,4841,380,872
993,11141,373531,1032,34409,715,1702
994,1706,56453,404,12856,419,879
995,415,14421,10326,346319,999,2207
996,2000,66578,11160,374389,1106,2291
997,1817,60786,18817,628210,340,765
998,1351,45792,4559,154710,20460,139130
999,19604,650611,1255,42606,1114,2322
