,date,price
1014,1491412920,145.28
1015,1491412980,145.24
1016,1491413040,145.25
1017,1491413100,145.2199
1018,1491413160,145.2199
1019,1491413220,145.2326
1020,1491413280,145.25
1021,1491413340,145.24
1022,1491413400,145.26
1023,1491413460,145.295
1024,1491413520,145.335
1025,1491413580,145.295
1026,1491413640,145.3426
1027,1491413700,145.386
1028,1491413760,145.38
1029,1491413820,145.388
1030,1491413880,145.34
1031,1491413940,145.34
1032,1491414000,145.35
1033,1491414060,145.344
1034,1491414120,145.33
1035,1491414180,145.3
1036,1491414240,145.365
1037,1491414300,145.38
1038,1491414360,145.4
1039,1491414420,145.41
1040,1491414480,145.395
1041,1491414540,145.41
1042,1491414600,145.44
1043,1491414660,145.43
1044,1491414720,145.44
1045,1491414780,145.4368
1046,1491414840,145.44
1047,1491414900,145.42
1048,1491414960,145.4353
1049,1491415020,145.45
1050,1491415080,145.4363
1051,1491415140,145.43
1052,1491415200,145.42
1053,1491415260,145.265
1054,1491415320,145.26
1055,1491415380,145.33
1056,1491415440,145.27
1057,1491415500,145.32
1058,1491415560,145.33
1059,1491415620,145.38
1060,1491415680,145.41
1061,1491415740,145.31
1062,1491415800,145.31
1063,1491415860,145.365
1064,1491415920,145.39
1065,1491415980,145.35
1066,1491416040,145.25
1067,1491416100,145.22
1068,1491416160,145.24
1069,1491416220,145.3
1070,1491416280,145.2553
1071,1491416340,145.2733
1072,1491416400,145.27
1073,1491416460,145.27
1074,1491416520,145.33
1075,1491416580,145.2899
1076,1491416640,145.2096
1077,1491416700,145.1822
1078,1491416760,145.25
1079,1491416820,145.28
1080,1491416880,145.29
1081,1491416940,145.281
1082,1491417000,145.28
1083,1491417060,145.3153
1084,1491417120,145.29
1085,1491417180,145.25
1086,1491417240,145.26
1087,1491417300,145.24
1088,1491417360,145.3052
1089,1491417420,145.22
1090,1491417480,145.19
1091,1491417540,145.16
1092,1491417600,145.09
1093,1491417660,145.1
1094,1491417720,145.05
1095,1491417780,145.09
